Bedrooms,Bathrooms,Land area,CV,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,NZDep2018,NZDep2018_Score,population
4,2.0,689.0,1075000,7004406,12,9,12,21,15,48,Avondale,8.0,1052.0,117
3,1.0,348.0,1025000,7004406,12,9,12,21,15,48,Avondale,8.0,1052.0,117
4,2.0,15230.0,1325000,7001370,36,12,9,24,21,18,Helensville,2.0,917.0,123
4,2.0,260.0,1275000,7003415,24,12,9,21,12,27,Waitakere,3.0,930.0,111
2,1.0,106.0,740000,7007570,0,3,0,3,0,231,Blockhouse Bay,7.0,1023.0,243
5,3.0,310.0,1525000,7003148,57,21,27,27,27,27,Campbells Bay,2.0,913.0,177
3,1.0,345.0,990000,7003063,57,48,42,33,24,15,Forrest Hill,6.0,980.0,219
4,2.0,523.0,1225000,7007593,24,15,12,12,18,33,Mount Roskill,4.0,950.0,123
3,1.0,616.0,985000,7004492,42,51,45,33,15,12,Waterview,4.0,951.0,198
4,2.0,1012.0,960000,7010519,24,12,9,12,24,27,Pukekohe,2.0,905.0,108
4,3.0,600.0,820000,7009719,57,18,30,18,24,39,Wattle Downs,6.0,982.0,186
3,1.0,120.0,780000,7009752,72,27,42,36,21,36,Totara Heights,4.0,939.0,231
3,2.0,703.0,1380000,7006719,54,21,27,36,24,60,Half Moon Bay,2.0,912.0,216
4,2.0,984.0,720000,7009781,39,27,21,24,21,21,Manurewa,5.0,965.0,150
3,2.0,386.0,540000,7003657,36,33,27,15,15,15,Massey,9.0,1109.0,144
4,3.0,222.0,1800000,7005727,18,42,33,9,12,15,Remuera,5.0,968.0,129
3,2.0,170.0,940000,7005577,21,21,21,9,15,6,Epsom,6.0,984.0,90
3,2.0,400.0,940000,7002422,60,18,42,39,24,33,Beach Haven,4.0,945.0,210
3,2.0,400.0,940000,7002422,60,18,42,39,24,33,Beach Haven,4.0,945.0,210
3,1.0,152.0,1160000,7006072,72,15,33,33,24,48,Remuera,1.0,870.0,219
3,3.0,922.0,1650000,7004545,30,30,27,27,24,48,Chatswood,6.0,976.0,189
4,3.0,428.0,960000,7001695,60,15,21,33,33,63,Gulf Harbour,6.0,977.0,225
4,1.0,5088.0,1900000,7001715,36,6,9,18,33,39,Army Bay,1.0,882.0,141
4,3.0,523.0,570000,7011028,9,18,12,6,21,18,Pokeno,1.0,893.0,87
4,2.0,507.0,850000,7010975,72,27,18,24,27,6,Tuakau,8.0,1053.0,177
2,1.0,70.0,670000,7006853,33,18,12,12,21,33,Howick,7.0,1008.0,132
3,2.0,167.0,1650000,7005981,39,12,12,24,21,24,Remuera,2.0,919.0,123
4,2.0,956.0,990000,7004659,66,60,42,30,24,24,New Windsor,7.0,1026.0,255
3,1.0,822.0,990000,7002759,27,15,33,15,9,15,Glenfield,6.0,989.0,117
4,1.0,613.0,650000,7009491,96,27,42,15,15,24,Clendon Park,10.0,1324.0,219
2,1.0,814.0,750000,7003531,45,36,30,27,18,21,Massey,9.0,1109.0,171
3,1.0,718.0,650000,7008379,66,48,36,30,21,36,Otahuhu,10.0,1197.0,240
3,1.0,1358.0,1820000,7004376,33,21,33,36,30,21,Waterview,2.0,901.0,174
2,1.0,365.0,1175000,7005916,30,42,33,12,6,24,Greenlane,6.0,994.0,141
3,2.0,314.0,1140000,7006363,48,15,30,36,9,21,Mount Wellington,5.0,960.0,159
4,2.0,872.0,1245000,7007062,48,3,15,30,12,9,Beachlands,1.0,858.0,105
3,2.0,388.0,680000,7003777,39,30,21,15,15,9,West Harbour,8.0,1064.0,129
5,3.0,416.0,2300000,7006416,48,12,24,30,18,39,St Heliers,3.0,923.0,177
4,3.0,254.0,2175000,7004622,36,21,24,30,18,24,Mount Albert,5.0,959.0,147
4,3.0,254.0,2775000,7004622,36,21,24,30,18,24,Mount Albert,5.0,959.0,147
6,3.0,602.0,6400000,7005846,36,6,6,18,21,30,Remuera,1.0,881.0,129
3,2.0,742.0,950000,7003490,36,27,21,24,27,36,Ranui,3.0,926.0,171
3,2.0,186.0,900000,7007767,78,42,54,36,30,42,Hillsborough,5.0,975.0,270
4,3.0,204.0,640000,7008282,69,36,15,21,12,15,Mangere East,9.0,1099.0,165
4,3.0,204.0,640000,7008282,69,36,15,21,12,15,Mangere East,9.0,1099.0,165
4,2.0,902.0,2450000,7006644,39,15,9,27,30,27,Glendowie,2.0,907.0,141
3,1.0,921.0,1600000,7006644,39,15,9,27,30,27,Wai O Taiki Bay,2.0,907.0,141
3,1.0,714.0,1450000,7004584,63,21,21,36,33,18,Point Chevalier,3.0,922.0,189
5,3.0,1501.0,1730000,7007094,15,15,3,15,36,33,Kawakawa Bay,3.0,931.0,120
4,2.0,2566.0,1250000,7010325,90,21,63,48,27,48,Patumahoe,1.0,871.0,291
4,2.0,695.0,930000,7010325,90,21,63,48,27,48,Patumahoe,1.0,871.0,291
3,1.0,150.0,710000,7007358,57,42,27,33,24,33,New Lynn,8.0,1034.0,207
4,2.0,133.0,1280000,7004990,57,30,15,27,30,15,Sandringham,6.0,977.0,174
2,1.0,359.0,1400000,7005389,30,27,39,21,6,12,Mount Eden,6.0,993.0,141
4,2.0,400.0,1800000,7006292,33,6,12,18,21,36,Kohimarama,1.0,890.0,132
3,2.0,1618.0,1080000,7003392,39,9,24,21,24,51,Onetangi,6.0,989.0,171
4,2.0,253.0,720000,7009753,45,33,24,21,30,30,Totara Heights,4.0,941.0,186
