Bedrooms,Bathrooms,Land area,CV,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,NZDep2018,NZDep2018_Score,population
3,3.0,1024.0,1300000,7006998,36,9,12,18,21,36,Cockle Bay,4.0,937.0,135
1,1.0,675.0,970000,7002061,27,27,21,15,42,60,Browns Bay,4.0,945.0,195
4,2.0,726.0,1100000,7003913,57,27,27,18,21,18,West Harbour,7.0,1027.0,171
4,2.0,244.0,1625000,7002160,48,12,12,24,39,30,Kumeu,4.0,944.0,162
3,1.0,100.0,880000,7004832,36,30,15,12,24,12,Wesley,10.0,1189.0,123
3,1.0,961.0,1725000,7004832,36,30,15,12,24,12,Wesley,10.0,1189.0,123
4,3.0,1265.0,4110000,7002104,30,24,12,18,36,54,Torbay,1.0,897.0,174
2,1.0,1738.0,1400000,7007781,45,21,18,18,27,36,Hillsborough,2.0,916.0,165
3,2.0,236.0,1550000,7005847,27,33,24,18,27,18,Remuera,3.0,931.0,156
3,2.0,260.0,610000,7009802,60,48,33,27,21,18,Manurewa,9.0,1093.0,216
3,1.0,1151.0,920000,7003353,30,30,30,33,21,45,Oneroa,4.0,954.0,189
4,3.0,163.0,645000,7008790,54,36,33,18,18,15,Pakuranga Heights,5.0,974.0,174
3,2.0,532.0,1300000,7001459,0,0,0,0,0,0,Silverdale,8.0,1033.0,21
4,2.0,1513.0,890000,7001308,42,15,9,21,15,27,Warkworth,1.0,867.0,132
2,1.0,806.0,580000,7003394,42,9,18,21,27,42,Onetangi,6.0,999.0,156
17,8.0,1596.0,760000,7004981,21,21,18,21,9,12,Sandringham,6.0,988.0,111
4,2.0,1143.0,875000,7003883,36,15,21,15,24,30,Henderson,9.0,1109.0,132
5,3.0,253.0,890000,7009650,87,48,36,24,27,15,Manurewa,9.0,1127.0,234
2,1.0,70.0,815000,7004018,57,36,39,21,24,24,Sunnyvale,8.0,1043.0,204
4,3.0,812.0,1484100,7004092,42,24,24,21,18,9,Te Atatu Peninsula,7.0,1011.0,138
8,4.0,2362.0,1825000,7010377,51,9,18,36,27,42,Bombay,1.0,891.0,183
1,1.0,449.0,570000,7007849,45,18,21,24,24,39,Mangere Bridge,6.0,996.0,165
4,4.0,460.0,1325000,7007849,45,18,21,24,24,39,Mangere Bridge,6.0,996.0,165
4,2.0,466.0,1975000,7009561,69,39,45,33,21,39,Manurewa,9.0,1073.0,252
2,1.0,105.0,990000,7004381,39,42,30,24,21,21,Waterview,4.0,939.0,180
4,1.0,1088.0,810000,7008455,42,30,15,21,15,27,Mount Wellington,10.0,1138.0,153
3,2.0,170.0,670000,7004043,60,33,33,30,30,30,Te Atatu Peninsula,5.0,959.0,219
3,1.0,1012.0,820000,7008406,102,63,36,18,21,21,Papatoetoe,9.0,1134.0,255
4,1.0,948.0,740000,7009969,78,51,42,18,18,15,Takanini,9.0,1089.0,219
4,3.0,178.0,770000,7008524,33,27,18,15,18,12,Papatoetoe,7.0,1009.0,129
4,2.0,230.0,2050000,7010369,45,21,12,21,39,21,Bombay,2.0,908.0,153
3,2.0,1366.0,270000,7001354,0,0,0,0,0,6,Rakino Island,6.0,991.0,27
2,1.0,40.0,3250000,7001354,0,0,0,0,0,6,Rakino Island,6.0,991.0,27
3,2.0,184.0,920000,7001471,45,27,12,39,42,57,Hatfields Beach,2.0,912.0,228
4,3.0,188.0,1275000,7001471,45,27,12,39,42,57,Hatfields Beach,2.0,912.0,228
5,1.0,1429.0,1355000,7008654,54,36,33,21,12,24,Papatoetoe,8.0,1045.0,180
3,2.0,57.0,530000,7008385,66,42,39,15,12,12,Otahuhu,9.0,1134.0,189
2,1.0,1040.0,1080000,7003396,24,3,6,12,27,27,Waiheke Island,5.0,961.0,111
4,3.0,343.0,830000,7001550,48,15,15,27,27,69,Red Beach,2.0,915.0,195
5,2.0,11000.0,1080000,7005277,15,63,36,6,12,0,Auckland Central,8.0,1047.0,138
4,2.0,396.0,545000,7003697,36,33,12,27,18,15,Ranui,9.0,1077.0,144
6,3.0,809.0,910000,7003433,33,24,24,18,36,15,Swanson,1.0,897.0,144
2,1.0,70.0,500000,7008631,15,30,21,9,18,15,Papatoetoe,9.0,1071.0,111
6,4.0,1201.0,2550000,7009277,57,24,21,24,48,51,Dannemora,1.0,880.0,222
5,4.0,450.0,1775000,7002019,24,6,12,15,6,3,Long Bay,3.0,923.0,69
5,4.0,9107.0,2400000,7001795,36,9,12,15,21,21,Paremoremo,2.0,907.0,120
2,1.0,809.0,1120000,7003343,27,18,30,24,12,21,Oneroa,3.0,927.0,126
5,3.0,394.0,560000,7009785,30,24,12,24,18,39,Manurewa,9.0,1129.0,144
4,3.0,493.0,500000,7002186,27,27,30,15,18,21,Huapai,4.0,941.0,138
5,3.0,305.0,2350000,7005849,54,9,9,33,27,75,Remuera,1.0,894.0,201
4,3.0,342.0,1500000,7007919,63,27,24,27,27,39,Mangere Bridge,6.0,996.0,207
5,3.0,411.0,500000,7009853,33,18,27,18,24,39,Manurewa,3.0,925.0,165
5,3.0,491.0,520000,7009853,33,18,27,18,24,39,Manurewa,3.0,925.0,165
2,1.0,1070.0,790000,7003397,12,0,6,18,24,36,Waiheke Island,4.0,950.0,99
4,3.0,4019.0,1320000,7007159,48,12,12,27,27,30,Laingholm,2.0,899.0,159
4,1.0,1115.0,1155000,7002731,24,9,18,15,6,18,Totara Vale,3.0,936.0,99
5,4.0,358.0,900000,7003572,63,33,63,24,33,18,Ranui,5.0,973.0,234
6,2.0,741.0,620000,7010481,57,36,15,18,6,18,Pukekohe,8.0,1066.0,153
3,1.0,690.0,500000,7011005,21,9,3,3,6,9,Tuakau,9.0,1120.0,39
4,1.0,548.0,460000,7011005,21,9,3,3,6,9,Tuakau,9.0,1120.0,39
4,2.0,10000.0,1875000,7001835,39,15,18,21,21,15,Redvale,2.0,914.0,126
6,5.0,1083.0,2900000,7001717,54,18,12,27,33,39,Gulf Harbour,2.0,913.0,177
2,1.0,3488.0,650000,7003342,24,24,21,39,27,39,Oneroa,5.0,956.0,180
2,2.0,1161.0,1200000,7003342,24,24,21,39,27,39,Oneroa,5.0,956.0,180
5,3.0,560.0,980000,7009739,27,36,15,15,30,33,Goodwood Heights,5.0,961.0,162
6,4.0,5024.0,2350000,7009346,90,42,27,45,75,45,Flat Bush,2.0,898.0,321
3,1.0,15550.0,550000,7001139,48,30,21,21,33,45,Wellsford,5.0,973.0,195
4,3.0,327.0,2200000,7007478,39,33,24,24,33,63,Blockhouse Bay,3.0,934.0,219
3,2.0,151.0,510000,7001696,72,21,30,60,33,45,Gulf Harbour,3.0,919.0,258
2,1.0,56.0,460000,7005510,24,96,51,18,18,27,Auckland Central,7.0,1003.0,234
3,2.0,259.0,920000,7002295,45,24,48,15,6,12,Hobsonville,2.0,900.0,147
5,3.0,985.0,1430000,7007268,51,15,27,27,24,24,Titirangi,3.0,932.0,177
5,3.0,804.0,2000000,7009186,168,66,72,69,90,84,East Tamaki Heights,1.0,896.0,543
4,2.0,400.0,860000,7002191,54,21,24,30,24,36,Kumeu,3.0,929.0,189
3,1.0,696.0,980000,7006325,45,51,33,27,24,36,Saint Johns,8.0,1064.0,210
4,3.0,1459.0,3175000,7006173,39,15,12,18,21,36,Mission Bay,1.0,893.0,147
5,3.0,305.0,2025000,7007500,33,18,24,15,21,39,Blockhouse Bay,5.0,959.0,153
3,2.0,142.0,1550000,7005621,48,30,27,33,27,21,Epsom,4.0,949.0,192
4,3.0,741.0,1700000,7010004,102,33,54,60,48,36,Karaka,1.0,877.0,333
5,3.0,553.0,1425000,7010004,102,33,54,60,48,36,Karaka,1.0,877.0,333
2,1.0,70.0,505000,7004016,60,30,33,24,21,39,Sunnyvale,9.0,1083.0,201
3,1.0,859.0,560000,7009960,108,48,54,30,27,48,Randwick Park,9.0,1085.0,309
3,2.0,195.0,1825000,7004875,15,21,27,24,27,66,Herne Bay,3.0,930.0,174
4,3.0,305.0,2850000,7006411,30,15,15,18,27,75,St Heliers,3.0,934.0,174
4,2.0,155.0,3375000,7009103,99,84,90,30,18,18,Flat Bush,6.0,984.0,336
4,2.0,183.0,810000,7009103,99,84,90,30,18,18,Flat Bush,6.0,984.0,336
2,1.0,830.0,850000,7003383,42,15,21,33,36,60,Omiha,7.0,1019.0,216
4,2.0,1507.0,1200000,7002146,39,9,33,18,21,24,Waimauku,1.0,875.0,141
4,2.0,194.0,1425000,7006074,78,15,24,51,27,21,Remuera,2.0,909.0,207
4,2.0,505.0,790000,7008184,165,60,66,45,39,39,Mangere East,10.0,1157.0,420
4,2.0,213.0,1050000,7010278,39,15,18,24,33,21,Hunua,3.0,930.0,144
4,2.0,619.0,1325000,7009262,30,12,15,15,15,33,Somerville,2.0,903.0,120
4,2.0,822.0,970000,7007012,60,18,27,33,9,15,Cockle Bay,2.0,910.0,168
4,2.0,505.0,980000,7010517,51,21,27,24,30,54,Pukekohe,4.0,954.0,204
3,2.0,350.0,710000,7010105,63,24,42,18,21,33,Papakura,8.0,1054.0,201
5,3.0,751.0,2100000,7006938,54,21,18,33,36,42,Mellons Bay,2.0,911.0,207
4,2.0,542.0,1175000,7007452,42,15,15,21,21,27,Green Bay,6.0,991.0,144
7,2.0,357.0,1120000,7005119,15,48,45,9,9,12,Grey Lynn,4.0,939.0,141
4,3.0,334.0,1700000,7005119,15,48,45,9,9,12,Grey Lynn,4.0,939.0,141
5,4.0,376.0,1800000,7006764,51,24,30,27,9,33,Pakuranga Heights,7.0,1002.0,174
5,3.0,287.0,1175000,7007984,30,15,21,9,15,15,Onehunga,9.0,1127.0,108
5,2.0,292.0,1175000,7007984,30,15,21,9,15,15,Onehunga,9.0,1127.0,108
3,2.0,121.0,1600000,7005476,30,18,9,24,18,18,Epsom,5.0,964.0,123
3,1.0,911.0,960000,7003424,78,39,33,45,24,12,Waitakere,4.0,941.0,231
4,1.0,607.0,570000,7009576,78,30,24,24,21,21,Manurewa,10.0,1241.0,198
4,2.0,800.0,1550000,7006896,54,27,18,21,54,54,Howick,4.0,943.0,231
3,1.0,1095.0,860000,7010516,33,18,18,21,33,39,Pukekohe,3.0,926.0,171
5,2.0,900.0,840000,7009765,60,36,39,24,30,18,Manurewa,8.0,1035.0,207
5,4.0,1298.0,2750000,7006614,45,15,27,24,30,72,Pakuranga,2.0,911.0,213
4,2.0,509.0,1080000,7004212,27,15,24,21,27,24,Te Atatu Peninsula,3.0,929.0,144
3,2.0,604.0,1000000,7006464,24,39,24,12,12,27,Mount Wellington,7.0,1016.0,141
3,2.0,347.0,770000,7001648,24,24,12,30,27,27,Stanmore Bay,7.0,1005.0,156
2,2.0,362.0,580000,7011006,69,18,33,30,24,45,Tuakau,10.0,1139.0,213
3,2.0,752.0,890000,7009935,63,21,21,45,36,57,The Gardens,1.0,894.0,246
4,3.0,362.0,1105000,7007379,36,30,36,24,24,24,New Lynn,4.0,948.0,171
2,1.0,73.0,620000,7007621,24,36,15,24,18,21,Mount Roskill,6.0,989.0,138
3,1.0,713.0,940000,7009119,78,39,27,48,45,39,Botany Downs,5.0,956.0,282
2,1.0,43.0,380000,7008786,21,39,36,24,21,24,Manukau,8.0,1046.0,168
2,1.0,45.0,385000,7008786,21,39,36,24,21,24,Manukau,8.0,1046.0,168
5,2.0,665.0,880000,7003863,54,33,30,27,30,39,Henderson,9.0,1072.0,210
2,1.0,221.0,840000,7006100,39,24,27,27,18,39,Remuera,5.0,966.0,174
8,5.0,378.0,1360000,7009108,18,18,12,15,18,18,Flat Bush,6.0,995.0,99
5,3.0,664.0,1790000,7004208,33,18,15,9,24,27,Te Atatu Peninsula,3.0,933.0,120
4,2.0,906.0,1125000,7007737,30,18,12,24,21,12,Hillsborough,2.0,918.0,129
3,2.0,397.0,1875000,7005976,42,15,21,24,33,36,Remuera,2.0,905.0,180
3,1.0,470.0,725000,7004343,66,42,39,36,18,21,Avondale,8.0,1052.0,225
3,2.0,562.0,1025000,7008926,63,51,57,39,45,78,Burswood,4.0,949.0,336
5,3.0,5340.0,1875000,7006957,45,27,21,24,24,39,East Tamaki Heights,3.0,934.0,186
5,3.0,507.0,910000,7009944,60,24,33,27,21,18,Manurewa,3.0,937.0,186
4,2.0,403.0,860000,7009944,60,24,33,27,21,18,Manurewa,3.0,937.0,186
5,2.0,605.0,1150000,7001682,45,24,18,33,27,48,Army Bay,3.0,926.0,189
4,3.0,184.0,860000,7008313,57,45,33,24,24,24,Papatoetoe,7.0,1011.0,207
3,1.0,714.0,770000,7001301,6,12,6,9,12,72,Warkworth,8.0,1058.0,120
3,1.0,492.0,600000,7010086,54,27,27,30,12,21,Rosehill,9.0,1101.0,174
2,1.0,82.0,530000,7008075,69,30,36,30,18,24,Onehunga,9.0,1106.0,210
2,2.0,8638.0,650000,7001135,30,21,21,21,39,69,Great Barrier Island (Aotea Island),9.0,1107.0,201
3,2.0,352.0,570000,7004225,33,24,27,18,15,18,Glendene,7.0,1021.0,144
2,1.0,91.0,680000,7005655,78,204,177,45,15,12,Auckland Central,9.0,1082.0,534
5,3.0,722.0,990000,7010545,45,12,15,24,21,18,Pukekohe,7.0,1029.0,141
4,2.0,352.0,690000,7010462,27,12,12,15,12,21,Pukekohe,7.0,1011.0,96
5,4.0,683.0,1975000,7005827,33,12,6,24,15,15,Remuera,3.0,937.0,108
5,2.0,377.0,2350000,7005827,33,12,6,24,15,15,Remuera,3.0,937.0,108
3,2.0,1198.0,1100000,7007085,36,18,12,24,18,27,Maraetai,2.0,916.0,132
4,1.0,1136.0,610000,7010227,48,21,27,12,18,21,Papakura,9.0,1101.0,150
4,3.0,860.0,1750000,7007005,39,12,18,21,24,30,Cockle Bay,1.0,879.0,150
3,1.0,326.0,910000,7003786,120,42,30,33,24,18,West Harbour,10.0,1245.0,264
2,1.0,130.0,940000,7005703,24,30,24,12,24,18,Remuera,4.0,952.0,138
2,1.0,908.0,550000,7009667,66,30,33,21,21,18,Manurewa,10.0,1154.0,183
5,4.0,1358.0,3125000,7006406,51,27,30,27,24,27,St Heliers,2.0,904.0,177
4,2.0,138.0,570000,7008081,105,39,42,45,33,21,Favona,9.0,1126.0,294
3,1.0,746.0,560000,7010228,87,39,39,36,33,27,Papakura,10.0,1204.0,261
3,1.0,732.0,690000,7010140,42,27,30,27,24,33,Opaheke,5.0,973.0,180
3,1.0,610.0,530000,7009475,96,42,33,18,36,18,Manurewa,10.0,1198.0,243
4,2.0,311.0,300000,7010161,54,27,36,12,15,9,Papakura,9.0,1089.0,150
3,1.0,862.0,630000,7009918,75,24,33,21,21,24,Conifer Grove,8.0,1030.0,195
3,1.0,1396.0,885000,7003427,78,24,27,48,42,48,Swanson,2.0,899.0,267
3,2.0,2933.0,980000,7003427,78,24,27,48,42,48,Swanson,2.0,899.0,267
5,4.0,5093.0,1700000,7010006,15,12,6,9,30,24,Totara Park,2.0,901.0,102
4,2.0,810.0,3700000,7006674,33,9,9,15,21,27,Wai O Taiki Bay,1.0,886.0,117
5,3.0,938.0,3125000,7005985,30,12,6,21,24,24,Remuera,1.0,878.0,123
4,3.0,938.0,3125000,7005985,30,12,6,21,24,24,Remuera,1.0,878.0,123
4,3.0,403.0,2575000,7006636,45,9,15,21,36,30,Glendowie,1.0,874.0,153
5,2.0,300.0,1600000,7006007,15,27,21,6,3,21,Remuera,6.0,977.0,102
5,2.0,809.0,1025000,7004073,33,21,21,18,15,18,Te Atatu Peninsula,7.0,1013.0,135
4,3.0,251.0,2625000,7006290,60,9,15,30,27,36,Kohimarama,1.0,875.0,174
4,2.0,698.0,640000,7010489,39,30,27,15,24,30,Pukekohe,5.0,964.0,165
5,3.0,724.0,1400000,7007032,48,9,12,30,30,48,Beachlands,1.0,861.0,174
3,1.0,80.0,600000,7008434,78,57,51,18,15,24,Papatoetoe,9.0,1074.0,243
2,1.0,90.0,500000,7004289,57,24,36,24,18,27,New Lynn,8.0,1044.0,189
5,3.0,818.0,1300000,7007622,42,24,27,21,30,30,Mount Roskill,5.0,961.0,174
3,1.0,100.0,660000,7003776,78,45,48,36,30,21,West Harbour,8.0,1051.0,261
2,1.0,2256.0,680000,7003375,36,15,21,36,27,45,Ostend,5.0,957.0,186
6,4.0,377.0,1350000,7009313,24,15,21,12,6,12,Flat Bush,5.0,959.0,81
6,5.0,413.0,710000,7009313,24,15,21,12,6,12,Flat Bush,5.0,959.0,81
2,1.0,696.0,680000,7008479,51,21,30,6,15,9,Otahuhu,10.0,1148.0,129
2,2.0,197.0,540000,7004644,60,45,27,18,18,21,Mount Albert,10.0,1247.0,192
3,2.0,216.0,1300000,7006477,33,27,24,21,36,54,St Heliers,2.0,902.0,189
3,1.0,893.0,760000,7003379,24,12,15,15,30,24,Ostend,6.0,979.0,126
5,3.0,2188.0,1350000,7007314,21,21,18,15,24,18,Titirangi,5.0,968.0,114
4,3.0,508.0,1125000,7003528,60,48,57,33,18,33,Massey,6.0,983.0,255
4,2.0,1012.0,1055000,7003528,60,48,57,33,18,33,Massey,6.0,983.0,255
3,1.0,407.0,860000,7004094,48,27,27,30,18,21,Te Atatu Peninsula,8.0,1030.0,168
6,2.0,284.0,1350000,7007477,36,12,21,33,3,33,Blockhouse Bay,5.0,974.0,135
5,4.0,516.0,2525000,7005867,24,12,6,21,33,27,Remuera,4.0,938.0,117
3,1.0,80.0,440000,7010231,90,24,30,30,15,24,Papakura,10.0,1279.0,216
5,2.0,604.0,620000,7009503,99,42,39,27,18,18,Weymouth,10.0,1140.0,240
1,1.0,70.0,430000,7008565,18,15,24,18,18,33,Papatoetoe,7.0,1010.0,126
4,1.0,675.0,1150000,7007914,30,21,15,9,15,30,Mangere Bridge,4.0,954.0,126
4,1.0,703.0,1360000,7004961,39,48,48,24,27,9,Morningside,4.0,941.0,192
5,3.0,357.0,1600000,7004961,39,48,48,24,27,9,Morningside,4.0,941.0,192
2,1.0,288.0,530000,7008494,81,39,30,24,21,24,Otahuhu,9.0,1115.0,210
3,1.0,481.0,795000,7006871,57,33,24,27,33,27,Highland Park,7.0,1025.0,204
4,2.0,198.0,1500000,7006165,24,9,21,12,21,24,Orakei,10.0,1186.0,111
7,5.0,411.0,1340000,7009100,69,51,48,33,15,36,Flat Bush,7.0,1015.0,249
4,2.0,663.0,1370000,7002987,51,15,27,21,27,18,Murrays Bay,4.0,947.0,153
5,3.0,750.0,1775000,7006819,60,18,33,36,42,42,Half Moon Bay,3.0,922.0,222
3,2.0,587.0,2075000,7005856,45,36,12,18,33,33,Remuera,2.0,918.0,186
3,1.0,1233.0,915000,7003477,51,36,33,27,27,18,Ranui,10.0,1138.0,192
3,1.0,1103.0,580000,7010424,51,15,18,21,18,21,Waiuku,9.0,1122.0,147
3,2.0,577.0,1275000,7007410,81,33,39,42,33,54,Green Bay,3.0,927.0,282
4,3.0,922.0,2750000,7006493,39,6,9,21,18,27,St Heliers,1.0,859.0,123
5,3.0,600.0,1000000,7009716,57,21,27,15,30,42,Wattle Downs,6.0,981.0,192
4,4.0,561.0,1340000,7003578,102,84,78,54,42,45,Ranui,1.0,879.0,405
4,2.0,987.0,1050000,7004106,24,30,36,21,36,39,Te Atatu South,4.0,949.0,189
4,2.0,461.0,1550000,7006403,60,6,18,39,33,39,St Heliers,1.0,888.0,189
3,2.0,150.0,630000,7009726,39,33,21,12,12,21,Goodwood Heights,7.0,1000.0,138
4,3.0,7139.0,1650000,7002142,39,18,9,27,30,33,Waimauku,2.0,903.0,156
4,2.0,558.0,1000000,7001721,78,18,57,39,15,39,Gulf Harbour,2.0,906.0,243
4,2.0,3162.0,880000,7010417,75,27,27,39,30,24,Waiuku,1.0,894.0,216
4,2.0,5884.0,1725000,7009945,48,33,36,30,39,42,Alfriston,2.0,906.0,228
3,1.0,250.0,630000,7003563,60,21,30,24,21,18,Ranui,8.0,1037.0,174
5,2.0,508.0,910000,7005772,30,12,9,27,27,45,Narrow Neck,2.0,914.0,153
6,3.0,755.0,2950000,7005398,24,30,36,12,12,9,Mount Eden,5.0,970.0,120
3,2.0,1047.0,1050000,7002468,27,18,12,9,27,18,Beach Haven,1.0,881.0,123
5,2.0,1002.0,920000,7004222,21,15,15,12,9,15,Glendene,9.0,1092.0,93
4,2.0,7480.0,1500000,7010368,30,9,15,21,27,39,Ramarama,2.0,918.0,138
4,2.0,7480.0,1500000,7010368,30,9,15,21,27,39,Ramarama,2.0,918.0,138
2,2.0,119.0,700000,7010158,81,30,36,18,21,15,Papakura,8.0,1056.0,201
2,2.0,119.0,700000,7010158,81,30,36,18,21,15,Papakura,8.0,1056.0,201
5,3.0,1126.0,2200000,7006782,36,18,18,18,27,39,Bucklands Beach,3.0,931.0,147
3,1.0,706.0,600000,7008123,141,42,39,45,36,27,Mangere East,10.0,1262.0,327
3,1.0,603.0,700000,7008319,36,21,21,18,21,21,Papatoetoe,7.0,1016.0,141
5,3.0,266.0,2175000,7006065,30,12,24,9,30,30,Remuera,2.0,903.0,138
3,1.0,842.0,720000,7008321,48,30,18,12,27,24,Wiri,10.0,1227.0,159
3,1.0,1012.0,1020000,7003558,36,21,21,18,21,27,Ranui,8.0,1042.0,135
4,2.0,1599.0,1150000,7006940,69,30,27,51,24,42,Mellons Bay,4.0,945.0,237
6,2.0,1014.0,1300000,7008382,51,21,18,15,18,18,Otahuhu,10.0,1235.0,147
3,2.0,350.0,670000,7003548,78,36,33,36,15,24,Ranui,8.0,1054.0,213
3,1.0,120.0,630000,7009529,30,21,21,15,24,27,Weymouth,9.0,1083.0,147
3,1.0,100.0,620000,7003508,69,45,39,21,24,12,Massey,8.0,1032.0,210
3,2.0,803.0,950000,7003813,33,21,21,15,24,45,Massey,2.0,915.0,153
3,1.0,400.0,625000,7008908,120,66,51,51,18,36,Clover Park,8.0,1064.0,342
2,1.0,936.0,740000,7008498,54,39,33,24,36,30,Otahuhu,9.0,1135.0,213
5,3.0,1207.0,1850000,7007018,36,15,9,21,12,33,Cockle Bay,2.0,913.0,126
3,1.0,519.0,560000,7010039,45,39,36,21,30,33,Papakura,9.0,1118.0,195
4,2.0,1409.0,880000,7003417,21,15,12,21,27,30,Waitakere,2.0,914.0,123
3,1.0,161.0,1380000,7005168,36,33,18,27,21,24,Mount Eden,3.0,928.0,159
4,2.0,956.0,880000,7002449,33,24,15,21,15,15,Beach Haven,2.0,907.0,120
4,1.0,607.0,1575000,7005171,48,39,12,30,24,9,Mount Eden,3.0,926.0,162
5,3.0,809.0,1250000,7008516,48,51,24,30,15,15,Papatoetoe,5.0,968.0,183
3,1.0,405.0,600000,7010248,24,6,9,12,9,12,Papakura,9.0,1104.0,72
4,2.0,812.0,1425000,7006661,36,18,15,9,9,18,Point England,9.0,1086.0,102
3,1.0,1196.0,600000,7009887,51,27,18,12,12,15,Manurewa East,9.0,1118.0,135
3,1.0,1014.0,5600000,7008323,30,39,30,21,27,15,Mount Wellington,9.0,1100.0,162
4,2.0,602.0,455000,7001358,54,30,18,30,48,48,Wainui,2.0,918.0,231
4,3.0,437.0,1225000,7007776,51,30,42,33,36,30,Hillsborough,2.0,909.0,225
3,1.0,567.0,890000,7007683,45,48,33,27,21,33,Mount Roskill,4.0,943.0,195
4,2.0,500.0,1230000,7006376,30,24,12,21,15,9,Mount Wellington,5.0,973.0,117
3,1.0,132.0,860000,7004404,6,3,15,12,12,147,Avondale,8.0,1069.0,189
2,1.0,70.0,710000,7004759,60,42,57,33,27,18,Mount Albert,3.0,924.0,231
3,1.0,365.0,580000,7007141,69,39,24,18,15,12,Glen Eden,9.0,1098.0,177
4,2.0,597.0,870000,7009516,105,51,36,39,33,36,Weymouth,9.0,1128.0,300
3,1.0,627.0,960000,7006893,51,30,27,12,36,36,Bucklands Beach,3.0,930.0,195
6,4.0,451.0,1300000,7002079,30,21,18,12,12,12,Rothesay Bay,4.0,939.0,105
3,1.0,80.0,390000,7009492,147,54,39,33,45,18,Clendon Park,10.0,1152.0,336
4,1.0,610.0,465000,7009492,147,54,39,33,45,18,Clendon Park,10.0,1152.0,336
4,2.0,280.0,1500000,7006358,54,24,27,33,21,39,Stonefields,1.0,877.0,201
3,2.0,809.0,600000,7003372,27,3,3,24,21,42,Omiha,4.0,946.0,126
3,1.0,819.0,920000,7004062,57,21,36,33,15,24,Te Atatu Peninsula,5.0,970.0,180
3,1.0,1012.0,1150000,7007472,51,42,36,24,15,39,Blockhouse Bay,4.0,946.0,219
4,2.0,325.0,1950000,7002198,48,24,6,36,18,24,Kumeu,2.0,909.0,162
3,1.0,499.0,650000,7003546,60,39,30,21,21,24,Ranui,8.0,1064.0,192
3,1.0,259.0,770000,7008791,42,15,24,27,9,18,Pakuranga Heights,8.0,1037.0,129
4,2.0,458.0,750000,7010220,144,54,72,36,42,24,Papakura,8.0,1057.0,372
4,2.0,350.0,1160000,7002014,51,15,27,24,12,21,Browns Bay,1.0,879.0,150
4,3.0,639.0,1870000,7006615,48,33,27,27,27,42,Pakuranga,6.0,988.0,204
3,1.0,607.0,600000,7009457,117,60,30,33,30,27,Manurewa,10.0,1224.0,291
3,1.0,6158.0,780000,7001254,30,9,9,18,12,33,South Head,6.0,992.0,117
4,3.0,301.0,2000000,7006768,33,12,15,18,24,42,Bucklands Beach,3.0,927.0,138
2,2.0,76.0,930000,7004164,51,24,36,27,39,69,Glendene,6.0,976.0,237
4,2.0,400.0,1890000,7006780,33,15,9,24,24,33,Bucklands Beach,5.0,958.0,132
2,2.0,125.0,840000,7006610,30,15,21,18,9,39,Panmure,6.0,988.0,126
3,1.0,618.0,510000,7009470,120,57,45,45,39,21,Clendon Park,9.0,1129.0,327
5,3.0,672.0,910000,7009755,63,63,45,33,45,63,Totara Heights,5.0,959.0,312
4,2.0,466.0,960000,7001552,33,9,15,15,6,18,Red Beach,7.0,1029.0,96
5,3.0,601.0,620000,7001552,33,9,15,15,6,18,Red Beach,7.0,1029.0,96
4,3.0,224.0,940000,7009232,201,138,138,78,54,57,Flat Bush,4.0,953.0,666
4,3.0,244.0,1950000,7005090,24,36,21,12,24,54,Freemans Bay,7.0,1021.0,180
4,2.0,218.0,890000,7006486,54,12,21,30,30,39,St Heliers,1.0,873.0,180
4,2.0,375.0,2100000,7006486,54,12,21,30,30,39,St Heliers,1.0,873.0,180
4,3.0,228.0,1775000,7005623,42,36,15,33,18,39,Epsom,2.0,918.0,177
5,2.0,704.0,1025000,7008933,42,27,36,21,18,12,Burswood,3.0,921.0,159
3,3.0,536.0,850000,7005169,9,27,36,15,6,6,Mount Eden,4.0,954.0,105
3,2.0,371.0,950000,7008686,33,24,33,21,21,18,Pakuranga,7.0,1011.0,141
5,4.0,887.0,3600000,7006051,54,39,36,27,27,33,Orakei,5.0,974.0,210
4,2.0,666.0,1200000,7001416,96,18,60,48,30,39,Silverdale,1.0,891.0,285
4,2.0,397.0,1700000,7005161,24,36,36,27,6,9,Mount Eden,8.0,1055.0,135
4,1.0,607.0,950000,7007846,63,30,42,42,21,36,Mangere Bridge,8.0,1046.0,231
4,3.0,300.0,880000,7007938,138,63,66,45,24,30,Mangere Bridge,9.0,1132.0,369
3,1.0,550.0,1000000,7007920,69,42,42,45,36,84,Mangere Bridge,6.0,992.0,324
2,1.0,680.0,960000,7007842,72,21,36,33,21,54,Mangere Bridge,7.0,1025.0,234
4,3.0,784.0,2300000,7005965,60,15,27,24,27,21,Remuera,1.0,894.0,174
3,1.0,584.0,1055000,7007988,45,18,30,33,24,21,Onehunga,6.0,986.0,171
5,4.0,888.0,1680000,7007988,45,18,30,33,24,21,Onehunga,6.0,986.0,171
4,3.0,683.0,880000,7007566,48,48,42,33,33,45,Mount Roskill,6.0,982.0,249
6,5.0,424.0,1455000,7005411,48,18,12,24,21,27,Mount Eden,1.0,894.0,150
5,2.0,1025.0,3800000,7005844,39,15,9,24,15,27,Remuera,2.0,911.0,135
